area_id,weight,volume,population,age_0_17,age_18_64,age_65,num_transactions
E09000001,323.17475,98.84296341,6687,1018,4349,1320,842113
E09000002,421.3041249,122.3412938,203101,60281,123180,19640,4649347
E09000003,407.1704908,114.9337708,378778,88754,237036,52988,58025525
E09000004,359.5441265,106.446426,242387,56028,146237,40122,2867212
E09000005,434.3241407,128.9303688,323443,75033,211885,36525,26303807
E09000006,319.3362732,101.105159,325303,72176,196323,56804,4850975
E09000007,348.4204142,102.525979,243837,46242,169330,28265,8242186
E09000008,353.6361233,107.4619766,380070,93166,237511,49393,6479553
E09000009,358.5692448,106.197369,344285,81217,222669,40399,15534369
E09000010,416.0624556,122.3530623,328738,83274,203384,42080,49916158
E09000011,403.1896859,114.7362245,274542,66010,179854,28678,20076343
E09000012,405.9931962,111.5938228,268626,61120,188145,19361,22453809
E09000013,368.8733724,102.8821757,182183,34398,129350,18435,20534866
E09000014,401.7296186,111.3946661,268251,60298,182741,25212,27513713
E09000015,427.891938,133.1059771,246818,57186,152725,36907,30302784
E09000016,319.1556869,99.90938731,249375,54279,149202,45894,2746294
E09000017,374.7379509,119.7925701,296056,70644,186478,38934,12991039
E09000018,336.9229445,105.2018112,266412,62349,173737,30326,2677909
E09000019,357.45274,104.5409914,227507,40109,167416,19982,13897938
E09000020,372.6087654,100.5666293,158589,28328,107647,22614,13659812
E09000021,297.3791743,95.00663151,171609,37534,111139,22936,858899
E09000022,397.0969051,103.5189018,320736,62418,233025,25293,33399023
E09000023,399.1819102,105.6283724,294999,67332,200119,27548,29986860
E09000024,336.747006,103.7538128,205965,46260,134778,24927,6431064
E09000025,450.3499033,136.7035614,336254,83982,228855,23417,30147202
E09000026,407.3692848,119.0135557,297928,75418,186229,36281,13560498
E09000027,321.8080454,97.37318322,194124,44364,120918,28842,2766978
E09000028,387.6813202,107.157266,308434,62902,221000,24532,40562818
E09000029,295.330271,98.49586446,199870,46142,123600,30128,1304548
E09000030,390.0470118,112.608969,293828,64797,211354,17677,27358813
E09000031,414.8057265,117.9754572,270671,65030,177768,27873,46309951
E09000032,350.286873,103.6530288,319477,61036,229044,29397,11880748
E09000033,380.4701205,107.9339711,238047,42610,167188,28249,14078449
